NAME,URLs
홍콩 달러/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDHKD
일본 엔/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDJPY
캐나다 달러/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDCAD
아랍에미리트 디르함/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDAED
네델란드 안틸레/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDANG
아르헨티나 페소/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDARS
불가리아 레브/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDBGN
브라질 레알/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDBRL
스위스 프랑/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDCHF
칠레 페소/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDCLP
중국 위안/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDCNY
콜롬비아 페소/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDCOP
체코 크로나/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDCZK
덴마크 크로네/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDDKK
이집트 파운드/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDEGP
크로아티아 쿠나/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDHRK
헝가리 포린트/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDHUF
인도네시아 루피아/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDIDR
이스라엘 세켈/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDILS
인도 루피/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDINR
이란 리얄/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDIRR
요르단 디나르/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDJOD
모로코 디르함/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDMAD
마카오 파타카/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDMOP
멕시코 뉴페소/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDMXN
감비아 달라시/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDGMD
과테말라 케트잘/달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_USDGTQ
미국/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_USDKRW
유럽연합/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_EURKRW
일본/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_JPYKRW
중국/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_CNYKRW
홍콩/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_HKDKRW
대만/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_TWDKRW
영국/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_GBPKRW
오만/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_OMRKRW
캐나다/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_CADKRW
스위스/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_CHFKRW
스웨덴/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_SEKKRW
호주/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_AUDKRW
뉴질랜드/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_NZDKRW
체코/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_CZKKRW
칠레/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_CLPKRW
터키/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_TRYKRW
몽골/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_MNTKRW
이스라엘/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_ILSKRW
덴마크/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_DKKKRW
노르웨이/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_NOKKRW
사우디아라비아/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_SARKRW
쿠웨이트/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_KWDKRW
바레인/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_BHDKRW
아랍에미리트/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_AEDKRW
요르단/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_JODKRW
이집트/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_EGPKRW
태국/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_THBKRW
싱가포르/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_SGDKRW
말레이시아/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_MYRKRW
인도네시아/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_IDRKRW
카타르/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_QARKRW
카자흐스탄/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_KZTKRW
브루나이/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_BNDKRW
인도/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_INRKRW
파키스탄/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_PKRKRW
방글라데시/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_BDTKRW
필리핀/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_PHPKRW
멕시코/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_MXNKRW
브라질/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_BRLKRW
베트남/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_VNDKRW
남아프리카/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_ZARKRW
러시아/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_RUBKRW
헝가리/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_HUFKRW
폴란드/원,https://finance.naver.com/marketindex/exchangeDailyQuote.nhn?marketindexCd=FX_PLNKRW
